Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,7500,7400,7500,7600,7600,7700,7600,7700,7500,7500,7560
100,5354600,5635400,6103100,5618200,5535400,5595800,5493700,5529800,5481500,5521000,5586850
1000,6296450000,5933703900,5817111600,6171353100,6404558300,6327489400,6148815500,5859176300,6250348000,5936436600,6114544270
