Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,1700,1700,1600,11600,1700,1800,1700,1800,1800,1700,2710
50,35300,35500,35400,35300,35500,35200,35800,35400,35200,35400,35400
100,285800,405200,278000,276700,277900,276300,283300,278900,278900,300500,294150
200,2574700,2522700,2882700,2748200,2728500,2815100,2605500,2772100,2646000,2908100,2720360
300,9395000,9556900,9275500,9190600,9249300,9194800,9123400,9187600,9264900,9164200,9260220
400,22787700,22284600,21933300,21774400,21397500,21815600,23507500,24202100,22741100,23154800,22559860
500,44378800,44007800,42595800,44222700,43373100,42826300,44218300,44218300,43768000,44140300,43774940
600,78398500,77590100,76266700,76668600,76784600,76553800,74291300,74693000,74088100,73264200,75859890
700,123080300,117710600,117447100,120140300,118817100,121049700,123516600,120683600,128089600,122172600,121270750
800,188114900,176958000,178888800,181892700,195221000,189714200,180564600,181182100,181298400,177857000,183169170
900,257482500,262989300,265873200,260353000,254704300,255406000,257000300,262876100,253965600,265002400,259565270
1000,360108800,390405400,364895000,379750600,377386800,354493200,359688300,357403200,359289600,370476600,367389750
