Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,1800,1700,1700,1700,1800,1900,2000,1700,1700,1700,1770
50,35900,49800,35700,36800,36600,36600,35700,36700,35800,35900,37550
100,288100,286000,284400,296500,295900,296900,314700,292700,295800,292000,294300
200,2704500,3195900,2723500,2687800,2748200,2682900,2879900,2760800,2905900,2717500,2800690
300,9879900,10327200,10185100,10382000,11563400,9674200,9702200,9626300,9971700,9905100,10121710
400,26042400,24888200,24792700,24981200,24890700,24874400,24290600,23998500,24299400,24764600,24782270
500,50991100,49787300,48667700,51302300,51968300,52935100,44482200,49232300,46043100,49099300,49450870
750,169266900,175691800,197382700,172404800,177758000,171611400,173879200,172880400,173318100,175179900,175937320
1000,427939200,444002300,438869700,421321400,438256400,470256400,461557200,458437200,434852300,448935800,444442790
1500,1905570200,1828215500,1814177400,1715284100,1821280200,1809064700,1798733200,1893980700,1761726000,1933498800,1828153080
2000,8890109300,8735762300,9423369100,8822166400,8685678600,9148804000,9085551300,9423730300,9230455500,8969456700,9041508350
